"kingdom","group","location","website"
"Kingdom of Ansteorra","Barony of Bonwicke","the city mundanely known as Lubbock, Texas","https://ansteorra.org/bonwicke"
"Kingdom of Ansteorra","Barony of Bordermarch","Beaumont, Texas","https://ansteorra.org/bordermarch"
"Kingdom of Ansteorra","Barony of Bryn Gwlad","Texas","https://ansteorra.org/bryn-gwlad"
"Kingdom of Ansteorra","Barony of Elfsea","Fort Worth","https://ansteorra.org/elfsea/"
"Kingdom of Ansteorra","Barony of Loch Soilleir","most of Texas and Oklahoma","https://ansteorra.org/loch-soilleir/"
"Kingdom of Ansteorra","Barony of Namron","Texas","https://ansteorra.org/namron"
"Kingdom of Ansteorra","Barony of Northkeep","the area of Northeastern Oklahoma","https://ansteorra.org/northkeep"
"Kingdom of Ansteorra","Barony of Wiesenfeuer","the Oklahoma City area","https://ansteorra.org/wiesenfeuer"
"Kingdom of Ansteorra","Barony of the Eldern Hills","the Lawton / Fort Sill, Oklahoma area","https://ansteorra.org/eldern-hills/"
"Kingdom of Ansteorra","Barony of the Stargate","two additional groups, the Barony of Ravensfort (Woodlands, Conroe, Huntsville) and the Barony of Loch Soilleir (Clear Lake, Galveston, and Brazoria C","https://ansteorra.org/stargate"
"Kingdom of Ansteorra","Barony of the Steppes","Texas","https://ansteorra.org/steppes"
"Kingdom of Ansteorra","Canton of Chemin Noir","the area in and around Bartlesville, OK","https://ansteorra.org/chemin-noir/"
"Kingdom of Ansteorra","Canton of Glaslyn","Texas","https://ansteorra.org/glaslyn"
"Kingdom of Ansteorra","Canton of Myrgenfeld","the area mundanely known as Guthrie, OK","https://ansteorra.org/myrgenfeld/"
"Kingdom of Ansteorra","Canton of Skorragarðr","Lincoln, Okfuskee, Pottawatomie and Seminole counties in Oklahoma (see Maps page)","https://ansteorra.org/skorragardr/"
"Kingdom of Ansteorra","Province of Mooneschadowe","the city of Stillwater, Oklahoma","https://ansteorra.org/mooneschadowe/"
"Kingdom of Ansteorra","Riding of Marata","the area mundanely known as Enid","https://ansteorra.org/marata/"
"Kingdom of Ansteorra","Shire of Adlersruhe","Amarillo, Texas","https://ansteorra.org/adlersruhe/"
"Kingdom of Ansteorra","Shire of Brad Leah","a large area of Northern Texas encompassing Wichita Falls, Burkburnett, Iowa Park, Holliday, Olney, Vernon, Jacksboro, and the surrounding areas","https://ansteorra.org/brad-leah"
"Kingdom of Ansteorra","Shire of Ffynnon Gath","the states of Oklahoma and Texas","https://ansteorra.org/ffynnon-gath/"
"Kingdom of Ansteorra","Shire of Graywood","Lufkin, Nacogdoches, and Tyler, Texas","https://ansteorra.org/graywood/"
"Kingdom of Ansteorra","Shire of Rosenfeld","Texas","https://ansteorra.org/rosenfeld"
"Kingdom of Ansteorra","Shire of Seawinds","Texas","https://ansteorra.org/seawinds/"
"Kingdom of Ansteorra","Shire of the Shadowlands","the area mundanely known as the greater Bryan-College Station area and surrounding counties","https://ansteorra.org/shadowlands"
"Kingdom of Ansteorra","Stronghold of Hellsgate","parts of Texas and Oklahoma","https://ansteorra.org/hellsgate"
"Kingdom of Artemisia","Barony of Arn Hold","Boise, ID and Nampa, ID","https://www.facebook.com/groups/baronyarnhold/"
"Kingdom of Artemisia","Barony of Bronzehelm","Billings, MT","http://www.bronzehelm.org"
"Kingdom of Artemisia","Barony of Gryphon's Lair","Ogden, UT","https://www.facebook.com/groups/gryphonslair/"
"Kingdom of Artemisia","Barony of Loch Salann","Salt Lake City, UT","http://www.lochsalann.org"
"Kingdom of Artemisia","Barony of One Thousand Eyes","Idaho Falls, ID","https://onethousandeyes.org"
"Kingdom of Artemisia","Barony of Sentinels' Keep","Missoula/Butte, MT","https://www.sentinels-keep.org"
"Kingdom of Artemisia","Shire of Arrow's Flight","Provo, UT","http://arrowsflight.org/"
"Kingdom of Artemisia","Shire of Cote du Ciel","Logan/Willard/Brigham City , UT","https://www.facebook.com/groups/372899743885/"
"Kingdom of Artemisia","Shire of River Serponnde","Twin Falls, ID","https://www.facebook.com/groups/shireriverserpent"
"Kingdom of Artemisia","Shire of Silver Keep","Bozeman. MT","https://www.facebook.com/groups/366020795445/"
"Kingdom of Artemisia","Shire of Stan Wyrm","Great Falls, MT","https://www.facebook.com/groups/shireofstanwyrm/"
"Kingdom of Artemisia","Shire of Stonegate","Pocatello, ID","https://www.facebook.com/ShireOfStonegate"
"Kingdom of Artemisia","Shire of Windegate","Shelby, MT","https://www.facebook.com/groups/391521170049"
"Kingdom of Atenveldt","Barony Of Mons Tonitrus","Arizona","http://bmmt.org"
"Kingdom of Atenveldt","Barony of Atenveldt","Arizona","http://baronyofatenveldt.org"
"Kingdom of Atenveldt","Barony of Ered Sul","Arizona","http://baronyoferedsul.org"
"Kingdom of Atenveldt","Barony of Granite Mountain","Arizona","http://baronyofgranitemountain.org"
"Kingdom of Atenveldt","Barony of Sun Dragon","Arizona","http://baronyofsundragon.org"
"Kingdom of Atenveldt","Barony of Tir Ysgithr","Arizona","http://btysca.org"
"Kingdom of Atenveldt","Barony of Twin Moons","Arizona","http://baronyoftwinmoons.org"
"Kingdom of Atenveldt","Shire of Burning Sands","Arizona","http://burningsands.atenveldt.org"
"Kingdom of Atenveldt","Shire of Windale","Arizona","http://windale.atenveldt.org"
"Kingdom of Atlantia","Barony of Black Diamond","Cities of Bedford, Covington, Lexington and Lynchburg, Appomattox, Bedford, Campbell, Craig, Floyd, Giles, Montgomery, Pittsylvania, Pulaski, Radford, Roanoke, Rockbridge, Salem, Tazewll, Wise","http://black-diamond.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Bright Hills","Baltimore, Carrol, Cecil, Harford","http://brighthills.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Caer Mear","Cities of Colonial Heights, Hopewell, Petersburg, and Richmond, Albemarle, Amelia, Caroline, Charles City, Charlotte, Chesterfield, Dinwiddie, Fluvanna, Gloucester, Goochland, Hanover, Henrico, King and Queen , King William, Louisa, Mathews, Middlesex, New Kent, Powhatan, Prince George, Spotsylvania","http://caermear.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Dun Carraig","Calvert, Charles, St","http://www.duncarraig.net"
"Kingdom of Atlantia","Barony of Hawkwood","Buncombe, Cherokee, Clay, Graham, Haywood, Henderson, Jackson, Macon, Madison, Mcdowell, Polk, Rutherford, Swain, Transylvania, Yancey","http://hawkwood.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Hidden Mountain","Beaufort, Colleton, Georgetown, Jasper, Orangeburg, Williamsburg","http://hiddenmountain.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Highland Foorde","Allegany, Frederick, Garrett, Washington","http://highland-foorde.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Lochmere","Anne Arundel, Howard","http://lochmere.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Marinus","Cities of Cheasapeake, Norfolk, Portsmouth, Suffolk and Virgina Beach, Isle of Wight","http://www.baronyofmarinus.com"
"Kingdom of Atlantia","Barony of Nottinghill Coill","Abbeville, Aiken, Allendale, Bamberg, Barnwell, Calhoun, Chester, Clarendon, Colleton, Edgefield, Greenwood, Hampton, Jasper, Lancaster, McCormick, Newberry, Orangeburg, Saldua, York","http://www.nottinghillcoill.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Ponte Alto","Arlington, Fairfax","http://pontealto.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Raven's Cove","Onslow","http://ravenscove.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Sacred Stone","Polk, Rowan, Rutherford, Wilkes, Ashe, Alleghany, Surry, Stokes, Rockingham, Watauga, Yadkin, Forsyth, Guilford, Avery, Caldwell, Alexander, Iredell, Davidson, Randolph, Burke, Catawba, Cleveland, Lincoln, Gason, Mecklenburt, Cabbarus, Stanly, Anson and Union","http://sacredstone.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Stierbach","Clarke, Essex, Fairfax, Fauquier, Frederick, King George, Loudoun, Orange, Prince William, Rappahannock, Russell, Spotsylvania, Stafford, Warren, Westmoreland","http://stierbach.org"
"Kingdom of Atlantia","Barony of Storvik","District of Columbia, Prince Georges, Montgomery","http://storvik.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Tir-y-Don","Cities of Hampton, Newport News and Poquoson, Gloucester, James City, York","http://tirydon.atlantia.sca.org"
"Kingdom of Atlantia","Barony of Windmasters' Hill","Almance, Caswell, Chatham, Cumberland, Durham, Franklin, Granville, Halifax, Harnett, Hoke, Johnston, Lee, Moore, Nash, Orange, Person, Robeson, Rockingham, Sampson, Scotland, Vance, Wake, Warren, Wayne, Wilson","http://www.windmastershill.org"
"Kingdom of Atlantia","Canton of Aire Faucon","Cleveland, Gaston, Lincoln, Rutherford","http://airefaucon.atlantia.sca.org"
"Kingdom of Atlantia","Canton of Attilium","Bladen, Cumberland, Hoke, Robeson, Sampson, Scotland","https://www.windmastershill.org/wordpress/cantons/attilium/"
"Kingdom of Atlantia","Canton of Brockore Abbey","Chesterfield, Darlington, Kershaw, Lee, Marlboro, Sumter","https://brockore.wixsite.com/brockore-abbey"
"Kingdom of Atlantia","Canton of Buckston-on-Eno","Durham, Granville","http://buckston.atlantia.sca.org"
"Kingdom of Atlantia","Canton of Charlesbury Crossing","Anson, Cabarrus, Mecklenburg, Stanly, Union","http://charlesbury.atlantia.sca.org"
"Kingdom of Atlantia","Canton of Cydllan Downs","Fairfield, Lexington, Richland","http://www.nottinghillcoill.atlantia.sca.org/Cyddlan_Downs.html"
"Kingdom of Atlantia","Canton of Elvegast","Wake","http://elvegast.atlantia.sca.org"
"Kingdom of Atlantia","Canton of Falconcree","Cherokee, Greenville, Laurens, Spartanburg, Union","http://falconcree.org"
"Kingdom of Atlantia","Canton of Kapellenberg","Durham, Orange","http://kapellenberg.atlantia.sca.org"
"Kingdom of Atlantia","Canton of Middlegate","Davidson, Guilford, Randolph, Rockingham, Stokes","http://middlegate.atlantia.sca.org"
"Kingdom of Atlantia","Canton of Misty Marsh by the Sea","Clarendon, Dillon, Florence, Horry, Marion","http://www.hiddenmountain.atlantia.sca.org/misty-marsh-by-the-sea/"
"Kingdom of Atlantia","Canton of Moorhaven","City of Myrtle Beach","http://www.hiddenmountain.atlantia.sca.org/canton-of-moorhaven/"
"Kingdom of Atlantia","Canton of Nimenefeld","Harnett, Johnston, Wake","https://www.windmastershill.org/wordpress/cantons/nimenefeld/"
"Kingdom of Atlantia","Canton of Ritterwald","Aiken, Allendale, Barnwell, Edgefield","http://ritterwald.atlantia.sca.org/"
"Kingdom of Atlantia","Canton of Saint Georges","Anderson, Oconee, Pickens","http://stgeorge.atlantia.sca.org"
"Kingdom of Atlantia","Canton of Salesberie Glen","Rowan","http://salesberieglen.atlantia.sca.org"
"Kingdom of Atlantia","Canton of Stormwall","Cherokee, Clay, Graham, Haywood, Jackson, Macon, Swain","https://sites.google.com/site/stormwallsca/"
"Kingdom of Atlantia","Canton of Sudentorre","Caroline, Fredericksburg, King George, Spotsylvania, Stafford","http://sudentorre.atlantia.sca.org"
"Kingdom of Atlantia","Canton of Tear-Sea's Shore","Berkeley, Charleston, Colleton, Dorchester","http://www.hiddenmountain.atlantia.sca.org/canton-of-tear-seas-shore/"
"Kingdom of Atlantia","Shire of Border Vale Keep","City of Augusta","http://bordervalekeep.atlantia.sca.org"
"Kingdom of Atlantia","Shire of Isenfir","Cities of Charlotteville, Harrisonburg and Staunton, Albemarle, Greene, Madison, Nelson, Orange, Rockingham, Upper Augusta","http://isenfir.atlantia.sca.org"
"Kingdom of Atlantia","Shire of Roxbury Mill","Montgomery","http://roxburymill.atlantia.sca.org"
"Kingdom of Atlantia","Shire of Seareach","Brunswick, Columbus, Duplin, New Hanover, Kure Beach, Onslow, Pender, Sampson","https://www.seareach.atlantia.sca.org/"
"Kingdom of Atlantia","Shire of Spiaggia Levantina","Eastern Shore of Maryland","http://www.spiaggia-levantina.org"
"Kingdom of Atlantia","Shire of Ursus Bay","Craven County","http://ursus-bay.atlantia.sca.org/"
"Kingdom of Avacal","Barony of Borealis","Edmonton",""
"Kingdom of Avacal","Barony of Montengarde","Calgary","http://www.montengarde.org"
"Kingdom of Avacal","Barony of Myrgan Wood","Saskatoon","http://www.myrganwood.org/"
"Kingdom of Avacal","Shire of Ayresgarde","Cranbrook and Kimberly, BC and area",""
"Kingdom of Avacal","Shire of Bordergate","Cold Lake, AB and area",""
"Kingdom of Avacal","Shire of Sigelhundas","Regina, SK and area",""
"Kingdom of Avacal","Shire of Valley Wold","Moose Jaw, SK and area","https://www.facebook.com/groups/valleywold"
"Kingdom of Avacal","Shire of Vinjar","Grande Prairie, AB and area","https://www.facebook.com/groups/274358419340188"
"Kingdom of Avacal","Shire of Windwyrm","Lethbridge, AB and area","https://shire-of-windwyrm.carrd.co/"
"Kingdom of Caid","Barony of Altavia","San Fernando Valley, north of Los Angeles, Ca., including Canyon Country","https://altavia.sca-caid.org/"
"Kingdom of Caid","Barony of Calafia","San Diego and Imperial Counties","https://places.sca-caid.org/calafia/"
"Kingdom of Caid","Barony of Dreiburgen","Riverside and San Bernardino counties","https://dreiburgen.sca-caid.org/"
"Kingdom of Caid","Barony of Dun Or","Antelope Valley (including Lancaster and Palmdale), CA, Tehachapi, CA, California City, CA, and Edwards AFB","https://dunor.sca-caid.org/"
"Kingdom of Caid","Barony of Gyldenholt","Orange County","http://places.sca-caid.org/Gyldenholt"
"Kingdom of Caid","Barony of Lyondemere","South Bay and Long Beach areas of Los Angeles County","https://lyondemere.sca-caid.org/"
"Kingdom of Caid","Barony of Naevehjem","Centered around Ridgecrest, CA; includes the Owens Valley","http://places.sca-caid.org/naevehjem"
"Kingdom of Caid","Barony of Nordwache","Madera, Fresno, Kings, and Tulare Counties","http://places.sca-caid.org/nordwache"
"Kingdom of Caid","Barony of Starkhafn","Southern Nevada (Clark County)","https://starkhafn.sca-caid.org/"
"Kingdom of Caid","Barony of Western Seas","The Hawaiian Islands","https://westernseas.sca-caid.org/"
"Kingdom of Caid","Barony of Wintermist","Kern County","https://places.sca-caid.org/wintermist/"
"Kingdom of Caid","Barony of the Angels","Los Angels Area","http://places.sca-caid.org/angels"
"Kingdom of Caid","Shire Of Carreg Wen","Lompoc","https://carreg-wen.sca-caid.org/"
"Kingdom of Caid","Shire of Al-Sahid","Barstow/Victorville, Wrightwood, Big Bear","http://places.sca-caid.org/alsahid/"
"Kingdom of Caid","Shire of Darach","Ventura County","https://places.sca-caid.org/darach/"
"Kingdom of Caid","Shire of the Isles","Santa Barbara County","https://places.sca-caid.org/isles"
"Kingdom of Calontir","Barony Of Vatavia","Missouri","https://vatavia.calontir.org"
"Kingdom of Calontir","Barony of Coeur d'Ennui","Des Moines, Iowa","https://cde.calontir.org"
"Kingdom of Calontir","Barony of Forgotten Sea","Missouri","https://forgottensea.calontir.org"
"Kingdom of Calontir","Barony of Mag Mor","Missouri","https://magmor.calontir.org"
"Kingdom of Calontir","Barony of Three Rivers","Missouri","https://b3r.calontir.org"
"Kingdom of Calontir","Barony of the Lonely Tower","Missouri","https://lonelytower.calontir.org"
"Kingdom of Calontir","Shire of Cum An Iolair","southern Johnson County and all of Miami county Kansas","https://shirecai.calontir.org"
"Kingdom of Calontir","Shire of Heraldshill","Missouri","https://heraldshill.calontir.org"
"Kingdom of Calontir","Shire of Lilies War","Missouri","https://lilieswar.org/"
"Kingdom of Calontir","Shire of Lost Moor","Missouri","https://lostmoor.calontir.org"
"Kingdom of Drachenwald","Barony of Aarnimetsä","Finland",""
"Kingdom of Drachenwald","Barony of Eplaheimr","Ireland: midlands, west & south counties",""
"Kingdom of Drachenwald","Barony of Gotvik","Göteborg",""
"Kingdom of Drachenwald","Barony of Knights Crossing","Germany",""
"Kingdom of Drachenwald","Barony of Styringheim","Gotland",""
"Kingdom of Drachenwald","Canton of Drei Eichen","Großraum Köln, Bonn",""
"Kingdom of Drachenwald","Canton of Hukka","Helsinki area",""
"Kingdom of Drachenwald","Canton of Humalasalo","Tampere, Hämeenlinna, Lahti, Valkeakoski",""
"Kingdom of Drachenwald","Canton of Kaarnemaa","Oulu",""
"Kingdom of Drachenwald","Canton of Meadowmarsh","Frankfurt, Darmstadt, Hanau",""
"Kingdom of Drachenwald","Canton of Miehonlinna","Kouvola, Valkeala, Kuusankoski",""
"Kingdom of Drachenwald","Canton of Poukka","Kotka",""
"Kingdom of Drachenwald","Canton of Roterde","Dortmund, Bochum, Essen, Recklinghausen",""
"Kingdom of Drachenwald","Canton of Turmstadt","Bamberg, Erlangen, Nürnberg, Lichtenfels, Grafenwöhr, Hohenfels (Bayern)",""
"Kingdom of Drachenwald","Canton of Unikankare","Turku",""
"Kingdom of Drachenwald","Canton of Vielburgen","Kaiserslautern, Saarbrücken, KMC, Donnersbergkreis",""
"Kingdom of Drachenwald","College of St John of Rila","Kyustendil and Blagoevgrad Oblasts, Bulgaria",""
"Kingdom of Drachenwald","Shire of Ad Flumen Caerulum","Austria",""
"Kingdom of Drachenwald","Shire of Aros","Uppsala",""
"Kingdom of Drachenwald","Shire of Attemark","Skåne",""
"Kingdom of Drachenwald","Shire of Baggeholm","Blekinge",""
"Kingdom of Drachenwald","Shire of Depedene under Wychwood","UK: northern England",""
"Kingdom of Drachenwald","Shire of Dun in Mara","Ireland: Dublin & east counties",""
"Kingdom of Drachenwald","Shire of Fjellom","Jämtland",""
"Kingdom of Drachenwald","Shire of Flintheath","UK: east Anglia",""
"Kingdom of Drachenwald","Shire of Frostheim","Norrbotten (i.e. Luleå, Piteå, Boden)",""
"Kingdom of Drachenwald","Shire of Glen Rathlin","Ireland: northern counties; UK: Northern Ireland",""
"Kingdom of Drachenwald","Shire of Gyllengran","Medelpad (i.e. Sundsvall)",""
"Kingdom of Drachenwald","Shire of Harpelstane","UK: Scotland",""
"Kingdom of Drachenwald","Shire of Holmrike","Stockholm",""
"Kingdom of Drachenwald","Shire of Juneborg","Jönköping",""
"Kingdom of Drachenwald","Shire of Löghammar","Västmanland",""
"Kingdom of Drachenwald","Shire of Mynydd Gwyn","UK: Wales and western England",""
"Kingdom of Drachenwald","Shire of Polderslot","Netherlands",""
"Kingdom of Drachenwald","Shire of Pont Alarch","UK: central England",""
"Kingdom of Drachenwald","Shire of Reengarda","Skellefteå",""
"Kingdom of Drachenwald","Shire of Thamesreach","UK: greater London, England",""
"Kingdom of Drachenwald","Shire of Trivium","Belgium",""
"Kingdom of Drachenwald","Shire of Ulvberget","Skaraborg",""
"Kingdom of Drachenwald","Shire of Uma","Umeå",""
"Kingdom of Drachenwald","Shire of West Dragonshire","UK: southern England",""
"Kingdom of Drachenwald","Shire of Örehus","Helsingborg",""
"Kingdom of Ealdormere","Barony of Ben Dunfirth","Hamilton, Ontario, Canada","https://ealdormere.ca/ben-dunfirth/"
"Kingdom of Ealdormere","Barony of Ramshaven","Guelph, Ontario, Canada","https://ealdormere.ca/barony-of-ramshaven/"
"Kingdom of Ealdormere","Barony of Rising Waters","Niagara Falls, Ontario, Canada","https://ealdormere.ca/barony-of-rising-waters/"
"Kingdom of Ealdormere","Barony of Septentria","Toronto, Ontario, Canada","https://ealdormere.ca/barony-of-septentria"
"Kingdom of Ealdormere","Barony of Skraeling Althing","Ottawa, Ontario, Canada","http://www.skraelingalthing.com/"
"Kingdom of Ealdormere","Canton of Ardchreag","Scarborough, Ontario, Canada","https://ardchreag.wordpress.com/"
"Kingdom of Ealdormere","Canton of Beremere","Belleville, Ontario, Canada","https://ealdormere.ca/beremere/"
"Kingdom of Ealdormere","Canton of Bryniau Tywynnog","Renfrew County, Ontario, Canada","https://ealdormere.ca/bryniau-tywynnog/"
"Kingdom of Ealdormere","Canton of Caldrithig","Carleton Place, Ontario, Canada","http://www.skraelingalthing.com/caldrithig/"
